员工号,航段次序,航班号,出发日期,出发时间,出发机场,到达日期,到达时间,到达机场,实际资格
B0001,1,序号,FltNum,DptrDate,DptrTime,DptrStn,ArrvDate,ArrvTime,C
B0049,1,序号,FltNum,DptrDate,DptrTime,DptrStn,ArrvDate,ArrvTime,F
B0001,2,24,FB8567,8/1/2019,0.0243055556,XXJ,8/1/2019,0.100694444,C
B0049,2,24,FB8567,8/1/2019,0.0243055556,XXJ,8/1/2019,0.100694444,F
B0001,3,221,FB8560,8/1/2019,0.274305556,SXA,8/1/2019,0.354166667,C
B0049,3,221,FB8560,8/1/2019,0.274305556,SXA,8/1/2019,0.354166667,F
B0001,4,2551,FB1203,8/1/2019,0.364583333,FBX,8/1/2019,0.4375,C
B0049,4,2551,FB1203,8/1/2019,0.364583333,FBX,8/1/2019,0.4375,F
B0001,5,4430,FB748,8/1/2019,0.444444444,GOQ,8/1/2019,0.489583333,C
B0049,5,4430,FB748,8/1/2019,0.444444444,GOQ,8/1/2019,0.489583333,F
B0001,6,10651,FB538,8/1/2019,0.736111111,OAX,8/1/2019,0.791666667,C
B0049,6,10651,FB538,8/1/2019,0.736111111,OAX,8/1/2019,0.791666667,F
B0001,7,12904,FB321,8/1/2019,0.829861111,TGD,8/1/2019,0.868055556,C
B0049,7,12904,FB321,8/1/2019,0.829861111,TGD,8/1/2019,0.868055556,F
B0001,8,1071,FB14,8/2/2019,0.3125,HOM,8/2/2019,0.364583333,C
B0049,8,1071,FB14,8/2/2019,0.3125,HOM,8/2/2019,0.364583333,F
B0001,9,3591,FB534,8/2/2019,0.40625,OAX,8/2/2019,0.461805556,C
B0049,9,3591,FB534,8/2/2019,0.40625,OAX,8/2/2019,0.461805556,F
B0001,10,6146,FB90,8/2/2019,0.513888889,HUK,8/2/2019,0.635416667,C
B0049,10,6146,FB90,8/2/2019,0.513888889,HUK,8/2/2019,0.635416667,F
B0001,11,8041,FB645,8/2/2019,0.618055556,TGD,8/2/2019,0.6875,C
B0049,11,8041,FB645,8/2/2019,0.618055556,TGD,8/2/2019,0.6875,F
B0001,12,9993,FB72,8/2/2019,0.708333333,NOU,8/2/2019,0.774305556,C
B0049,12,9993,FB72,8/2/2019,0.708333333,NOU,8/2/2019,0.774305556,F
B0001,13,12071,FB38,8/2/2019,0.791666667,HOM,8/2/2019,0.84375,C
B0049,13,12071,FB38,8/2/2019,0.791666667,HOM,8/2/2019,0.84375,F
B0001,14,1429,FB492,8/3/2019,0.319444444,GKS,8/3/2019,0.371527778,C
B0049,14,1429,FB492,8/3/2019,0.319444444,GKS,8/3/2019,0.371527778,F
B0001,15,3960,FB643,8/3/2019,0.416666667,TGD,8/3/2019,0.486111111,C
B0049,15,3960,FB643,8/3/2019,0.416666667,TGD,8/3/2019,0.486111111,F
B0001,16,6302,FB62,8/3/2019,0.520833333,NOU,8/3/2019,0.586805556,C
B0049,16,6302,FB62,8/3/2019,0.520833333,NOU,8/3/2019,0.586805556,F
B0001,17,8000,FB592,8/3/2019,0.611111111,MYJ,8/3/2019,0.673611111,C
B0049,17,8000,FB592,8/3/2019,0.611111111,MYJ,8/3/2019,0.673611111,F
B0001,18,10336,FB427,8/3/2019,0.722222222,HOM,8/3/2019,0.774305556,C
B0049,18,10336,FB427,8/3/2019,0.722222222,HOM,8/3/2019,0.774305556,F
B0001,19,12860,FB558,8/3/2019,0.822916667,TXD,8/3/2019,0.881944444,C
B0049,19,12860,FB558,8/3/2019,0.822916667,TXD,8/3/2019,0.881944444,F
B0001,20,699,FB583,8/4/2019,0.298611111,TGD,8/4/2019,0.357638889,C
B0049,20,699,FB583,8/4/2019,0.298611111,TGD,8/4/2019,0.357638889,F
B0001,21,2643,FB281,8/4/2019,0.368055556,TGD,8/4/2019,0.420138889,C
B0049,21,2643,FB281,8/4/2019,0.368055556,TGD,8/4/2019,0.420138889,F
B0001,22,4402,FB1734,8/4/2019,0.444444444,SXA,8/4/2019,0.53125,C
B0049,22,4402,FB1734,8/4/2019,0.444444444,SXA,8/4/2019,0.53125,F
B0001,23,6305,FB796,8/4/2019,0.520833333,SHO,8/4/2019,0.586805556,C
B0049,23,6305,FB796,8/4/2019,0.520833333,SHO,8/4/2019,0.586805556,F
B0001,24,12830,FB273,8/4/2019,0.822916667,TGD,8/4/2019,0.902777778,C
B0049,24,12830,FB273,8/4/2019,0.822916667,TGD,8/4/2019,0.902777778,F
B0001,25,13901,FB988,8/4/2019,0.909722222,NOU,8/4/2019,0.979166667,C
B0049,25,13901,FB988,8/4/2019,0.909722222,NOU,8/4/2019,0.979166667,F
B0001,26,5446,FB1606,8/5/2019,0.489583333,XNZ,8/5/2019,0.520833333,C
B0049,26,5446,FB1606,8/5/2019,0.489583333,XNZ,8/5/2019,0.520833333,F
B0001,27,8240,FB69,8/5/2019,0.625,TGD,8/5/2019,0.6875,C
B0049,27,8240,FB69,8/5/2019,0.625,TGD,8/5/2019,0.6875,F
B0001,28,9884,FB388,8/5/2019,0.704861111,YKJ,8/5/2019,0.767361111,C
B0049,28,9884,FB388,8/5/2019,0.704861111,YKJ,8/5/2019,0.767361111,F
B0001,29,12711,FB599,8/5/2019,0.819444444,TGD,8/5/2019,0.878472222,C
B0049,29,12711,FB599,8/5/2019,0.819444444,TGD,8/5/2019,0.878472222,F
B0001,30,13902,FB988,8/5/2019,0.909722222,NOU,8/5/2019,0.979166667,C
B0049,30,13902,FB988,8/5/2019,0.909722222,NOU,8/5/2019,0.979166667,F
B0001,31,27,FB8567,8/6/2019,0.0243055556,XXJ,8/6/2019,0.100694444,C
B0049,31,27,FB8567,8/6/2019,0.0243055556,XXJ,8/6/2019,0.100694444,F
B0001,32,224,FB8560,8/6/2019,0.274305556,SXA,8/6/2019,0.354166667,C
B0049,32,224,FB8560,8/6/2019,0.274305556,SXA,8/6/2019,0.354166667,F
B0001,33,2556,FB1203,8/6/2019,0.364583333,FBX,8/6/2019,0.4375,C
B0049,33,2556,FB1203,8/6/2019,0.364583333,FBX,8/6/2019,0.4375,F
B0001,34,4435,FB748,8/6/2019,0.444444444,GOQ,8/6/2019,0.489583333,C
B0049,34,4435,FB748,8/6/2019,0.444444444,GOQ,8/6/2019,0.489583333,F
B0001,35,10666,FB538,8/6/2019,0.736111111,OAX,8/6/2019,0.791666667,C
B0049,35,10666,FB538,8/6/2019,0.736111111,OAX,8/6/2019,0.791666667,F
B0001,36,12909,FB321,8/6/2019,0.829861111,TGD,8/6/2019,0.868055556,C
B0049,36,12909,FB321,8/6/2019,0.829861111,TGD,8/6/2019,0.868055556,F
B0001,37,1086,FB14,8/7/2019,0.3125,HOM,8/7/2019,0.364583333,C
B0049,37,1086,FB14,8/7/2019,0.3125,HOM,8/7/2019,0.364583333,F
B0001,38,3596,FB534,8/7/2019,0.40625,OAX,8/7/2019,0.461805556,C
B0049,38,3596,FB534,8/7/2019,0.40625,OAX,8/7/2019,0.461805556,F
B0001,39,6161,FB90,8/7/2019,0.513888889,HUK,8/7/2019,0.635416667,C
B0049,39,6161,FB90,8/7/2019,0.513888889,HUK,8/7/2019,0.635416667,F
B0001,40,8046,FB645,8/7/2019,0.618055556,TGD,8/7/2019,0.6875,C
B0049,40,8046,FB645,8/7/2019,0.618055556,TGD,8/7/2019,0.6875,F
B0001,41,10008,FB72,8/7/2019,0.708333333,NOU,8/7/2019,0.774305556,C
B0049,41,10008,FB72,8/7/2019,0.708333333,NOU,8/7/2019,0.774305556,F
B0001,42,12076,FB38,8/7/2019,0.791666667,HOM,8/7/2019,0.84375,C
B0049,42,12076,FB38,8/7/2019,0.791666667,HOM,8/7/2019,0.84375,F
B0001,43,1439,FB492,8/8/2019,0.319444444,GKS,8/8/2019,0.371527778,C
B0049,43,1439,FB492,8/8/2019,0.319444444,GKS,8/8/2019,0.371527778,F
B0001,44,3965,FB643,8/8/2019,0.416666667,TGD,8/8/2019,0.486111111,C
B0049,44,3965,FB643,8/8/2019,0.416666667,TGD,8/8/2019,0.486111111,F
B0001,45,6312,FB62,8/8/2019,0.520833333,NOU,8/8/2019,0.586805556,C
B0049,45,6312,FB62,8/8/2019,0.520833333,NOU,8/8/2019,0.586805556,F
B0001,46,8005,FB592,8/8/2019,0.611111111,MYJ,8/8/2019,0.673611111,C
B0049,46,8005,FB592,8/8/2019,0.611111111,MYJ,8/8/2019,0.673611111,F
B0001,47,10341,FB427,8/8/2019,0.722222222,HOM,8/8/2019,0.774305556,C
B0049,47,10341,FB427,8/8/2019,0.722222222,HOM,8/8/2019,0.774305556,F
B0001,48,12865,FB558,8/8/2019,0.822916667,TXD,8/8/2019,0.881944444,C
B0049,48,12865,FB558,8/8/2019,0.822916667,TXD,8/8/2019,0.881944444,F
B0001,49,704,FB583,8/9/2019,0.298611111,TGD,8/9/2019,0.357638889,C
B0049,49,704,FB583,8/9/2019,0.298611111,TGD,8/9/2019,0.357638889,F
B0001,50,2595,FB384,8/9/2019,0.364583333,YKJ,8/9/2019,0.420138889,C
B0049,50,2595,FB384,8/9/2019,0.364583333,YKJ,8/9/2019,0.420138889,F
B0001,51,4407,FB1734,8/9/2019,0.444444444,SXA,8/9/2019,0.53125,C
B0049,51,4407,FB1734,8/9/2019,0.444444444,SXA,8/9/2019,0.53125,F
B0001,52,6315,FB796,8/9/2019,0.520833333,SHO,8/9/2019,0.586805556,C
B0049,52,6315,FB796,8/9/2019,0.520833333,SHO,8/9/2019,0.586805556,F
B0001,53,12866,FB270,8/9/2019,0.822916667,FBX,8/9/2019,0.895833333,C
B0049,53,12866,FB270,8/9/2019,0.822916667,FBX,8/9/2019,0.895833333,F
B0001,54,13919,FB1106,8/9/2019,0.916666667,TUK,8/9/2019,0.993055556,C
B0049,54,13919,FB1106,8/9/2019,0.916666667,TUK,8/9/2019,0.993055556,F
B0001,55,31,FB8567,8/10/2019,0.0243055556,XXJ,8/10/2019,0.100694444,C
B0049,55,31,FB8567,8/10/2019,0.0243055556,XXJ,8/10/2019,0.100694444,F
B0001,56,228,FB8560,8/10/2019,0.274305556,SXA,8/10/2019,0.354166667,C
B0049,56,228,FB8560,8/10/2019,0.274305556,SXA,8/10/2019,0.354166667,F
