航班号,出发日期,出发时间,出发机场,到达日期,到达时间,到达机场,最低配置要求
1,FB8559,8/1/2019,0.00347222222,HOM,8/1/2019,0.0868055556,SXA
47,FB1000,8/1/2019,0.149305556,SXA,8/1/2019,0.246527778,TGD
74,FB8558,8/1/2019,0.201388889,SXA,8/1/2019,0.291666667,TGD
97,FB89,8/1/2019,0.256944444,TGD,8/1/2019,0.375,HUK
128,FB239,8/1/2019,0.267361111,TGD,8/1/2019,0.34375,FBX
159,FB411,8/1/2019,0.267361111,TGD,8/1/2019,0.315972222,HOM
160,FB985,8/1/2019,0.267361111,TGD,8/1/2019,0.3125,HOM
244,FB293,8/1/2019,0.277777778,TGD,8/1/2019,0.329861111,OOJ
275,FB993,8/1/2019,0.277777778,TGD,8/1/2019,0.378472222,SXA
306,FB619,8/1/2019,0.28125,TGD,8/1/2019,0.354166667,XSJ
337,FB381,8/1/2019,0.284722222,TGD,8/1/2019,0.336805556,YKJ
368,FB393,8/1/2019,0.288194444,TGD,8/1/2019,0.329861111,UYS
399,FB13,8/1/2019,0.291666667,TGD,8/1/2019,0.336805556,HOM
461,FB94,8/1/2019,0.291666667,HOM,8/1/2019,0.340277778,TGD
462,FB240,8/1/2019,0.291666667,FBX,8/1/2019,0.361111111,TGD
523,FB671,8/1/2019,0.291666667,TGD,8/1/2019,0.350694444,THJ
554,FB1200,8/1/2019,0.295138889,SXA,8/1/2019,0.361111111,FBX
587,FB986,8/1/2019,0.295138889,HOM,8/1/2019,0.34375,TGD
678,FB93,8/1/2019,0.298611111,TGD,8/1/2019,0.350694444,HOM
696,FB583,8/1/2019,0.298611111,TGD,8/1/2019,0.357638889,MYJ
727,FB312,8/1/2019,0.298611111,OSY,8/1/2019,0.34375,TGD
728,FB394,8/1/2019,0.298611111,UYS,8/1/2019,0.34375,TGD
820,FB541,8/1/2019,0.298611111,HOM,8/1/2019,0.347222222,XSJ
851,FB382,8/1/2019,0.305555556,YKJ,8/1/2019,0.361111111,TGD
882,FB241,8/1/2019,0.309027778,TGD,8/1/2019,0.385416667,FBX
913,FB651,8/1/2019,0.309027778,TGD,8/1/2019,0.361111111,SXJ
944,FB582,8/1/2019,0.309027778,MYJ,8/1/2019,0.371527778,TGD
975,FB451,8/1/2019,0.309027778,TGD,8/1/2019,0.385416667,TUK
1006,FB432,8/1/2019,0.3125,FBX,8/1/2019,0.364583333,GKS
1068,FB14,8/1/2019,0.3125,HOM,8/1/2019,0.364583333,TGD
1069,FB50,8/1/2019,0.3125,NOU,8/1/2019,0.378472222,TGD
1070,FB402,8/1/2019,0.3125,AXO,8/1/2019,0.357638889,TGD
1161,FB522,8/1/2019,0.315972222,XMJ,8/1/2019,0.361111111,HOM
1203,FB463,8/1/2019,0.315972222,TGD,8/1/2019,0.420138889,SXA
1239,FB532,8/1/2019,0.315972222,OAX,8/1/2019,0.371527778,TGD
1240,FB562,8/1/2019,0.315972222,XNZ,8/1/2019,0.371527778,TGD
1241,FB632,8/1/2019,0.315972222,HWX,8/1/2019,0.381944444,TGD
1242,FB672,8/1/2019,0.315972222,THJ,8/1/2019,0.375,TGD
1243,FB792,8/1/2019,0.315972222,SHO,8/1/2019,0.381944444,TGD
1394,FB601,8/1/2019,0.315972222,TGD,8/1/2019,0.385416667,XMH
1425,FB492,8/1/2019,0.319444444,GKS,8/1/2019,0.371527778,TGD
1426,FB692,8/1/2019,0.319444444,BCJ,8/1/2019,0.388888889,TGD
1487,FB531,8/1/2019,0.322916667,TGD,8/1/2019,0.375,OAX
1518,FB401,8/1/2019,0.326388889,TGD,8/1/2019,0.371527778,AXO
1580,FB2176,8/1/2019,0.326388889,HOM,8/1/2019,0.381944444,TGD
1642,FB421,8/1/2019,0.333333333,HOM,8/1/2019,0.385416667,FBX
1673,FB15,8/1/2019,0.333333333,TGD,8/1/2019,0.378472222,HOM
1674,FB1702,8/1/2019,0.333333333,FBX,8/1/2019,0.378472222,HOM
1735,FB53,8/1/2019,0.333333333,TGD,8/1/2019,0.395833333,NOU
1828,FB16,8/1/2019,0.333333333,HOM,8/1/2019,0.385416667,TGD
1829,FB242,8/1/2019,0.333333333,FBX,8/1/2019,0.40625,TGD
1830,FB460,8/1/2019,0.333333333,SXA,8/1/2019,0.434027778,TGD
1831,FB620,8/1/2019,0.333333333,XSJ,8/1/2019,0.40625,TGD
2024,FB96,8/1/2019,0.340277778,HOM,8/1/2019,0.392361111,TGD
2055,FB561,8/1/2019,0.340277778,TGD,8/1/2019,0.399305556,XNZ
2117,FB763,8/1/2019,0.34375,HOM,8/1/2019,0.430555556,SXA
2148,FB662,8/1/2019,0.34375,GKU,8/1/2019,0.420138889,TGD
2179,FB673,8/1/2019,0.34375,TGD,8/1/2019,0.402777778,THJ
2241,FB577,8/1/2019,0.350694444,HOM,8/1/2019,0.430555556,NOU
2272,FB642,8/1/2019,0.350694444,XMJ,8/1/2019,0.420138889,TGD
2303,FB243,8/1/2019,0.354166667,TGD,8/1/2019,0.427083333,FBX
2334,FB52,8/1/2019,0.354166667,NOU,8/1/2019,0.420138889,TGD
2365,FB467,8/1/2019,0.357638889,TGD,8/1/2019,0.465277778,SXA
2396,FB396,8/1/2019,0.357638889,UYS,8/1/2019,0.402777778,TGD
2479,FB771,8/1/2019,0.361111111,HOM,8/1/2019,0.4375,NOU
2510,FB301,8/1/2019,0.361111111,GKS,8/1/2019,0.454861111,SXA
2580,FB294,8/1/2019,0.364583333,OOJ,8/1/2019,0.416666667,TGD
2581,FB384,8/1/2019,0.364583333,YKJ,8/1/2019,0.420138889,TGD
2702,FB787,8/1/2019,0.371527778,TGD,8/1/2019,0.420138889,SGJ
2754,FB245,8/1/2019,0.375,TGD,8/1/2019,0.447916667,FBX
2785,FB17,8/1/2019,0.375,TGD,8/1/2019,0.423611111,HOM
2847,FB18,8/1/2019,0.375,HOM,8/1/2019,0.423611111,TGD
2848,FB244,8/1/2019,0.375,FBX,8/1/2019,0.447916667,TGD
2849,FB1892,8/1/2019,0.375,TAN,8/1/2019,0.413194444,TGD
2960,FB544,8/1/2019,0.378472222,XSJ,8/1/2019,0.427083333,HOM
2991,FB674,8/1/2019,0.378472222,THJ,8/1/2019,0.434027778,TGD
3022,FB434,8/1/2019,0.381944444,FBX,8/1/2019,0.434027778,GKS
3125,FB523,8/1/2019,0.385416667,HOM,8/1/2019,0.434027778,XMJ
3156,FB995,8/1/2019,0.388888889,TGD,8/1/2019,0.496527778,SXA
3187,FB654,8/1/2019,0.388888889,SXJ,8/1/2019,0.444444444,TGD
3218,FB675,8/1/2019,0.388888889,TGD,8/1/2019,0.447916667,THJ
3290,FB57,8/1/2019,0.395833333,TGD,8/1/2019,0.461805556,NOU
3321,FB54,8/1/2019,0.395833333,NOU,8/1/2019,0.461805556,TGD
3322,FB584,8/1/2019,0.395833333,MYJ,8/1/2019,0.458333333,TGD
3373,FB316,8/1/2019,0.399305556,OSY,8/1/2019,0.447916667,TGD
3374,FB404,8/1/2019,0.399305556,AXO,8/1/2019,0.447916667,TGD
3434,FB383,8/1/2019,0.399305556,TGD,8/1/2019,0.454861111,YKJ
3465,FB585,8/1/2019,0.402777778,TGD,8/1/2019,0.461805556,MYJ
3496,FB533,8/1/2019,0.402777778,TGD,8/1/2019,0.454861111,OAX
3527,FB315,8/1/2019,0.402777778,TGD,8/1/2019,0.444444444,OSY
3559,FB703,8/1/2019,0.40625,GKS,8/1/2019,0.479166667,NOU
3590,FB534,8/1/2019,0.40625,OAX,8/1/2019,0.461805556,TGD
3621,FB247,8/1/2019,0.409722222,TGD,8/1/2019,0.482638889,FBX
3652,FB994,8/1/2019,0.409722222,SXA,8/1/2019,0.517361111,TGD
3683,FB981,8/1/2019,0.409722222,TGD,8/1/2019,0.486111111,TUK
3779,FB19,8/1/2019,0.416666667,TGD,8/1/2019,0.461805556,HOM
3896,FB20,8/1/2019,0.416666667,HOM,8/1/2019,0.46875,TGD
3897,FB454,8/1/2019,0.416666667,TUK,8/1/2019,0.489583333,TGD
3989,FB793,8/1/2019,0.423611111,TGD,8/1/2019,0.489583333,SHO
4019,FB248,8/1/2019,0.423611111,FBX,8/1/2019,0.496527778,TGD
4070,FB553,8/1/2019,0.427083333,TGD,8/1/2019,0.482638889,TXD
4106,FB2153,8/1/2019,0.430555556,TGD,8/1/2019,0.503472222,NOU
4137,FB653,8/1/2019,0.430555556,TGD,8/1/2019,0.482638889,SXJ
4168,FB564,8/1/2019,0.430555556,XNZ,8/1/2019,0.486111111,TGD
4169,FB754,8/1/2019,0.430555556,XMQ,8/1/2019,0.482638889,TGD
4231,FB1605,8/1/2019,0.434027778,HOM,8/1/2019,0.465277778,XNZ
4258,FB249,8/1/2019,0.4375,TGD,8/1/2019,0.513888889,FBX
4289,FB56,8/1/2019,0.4375,NOU,8/1/2019,0.503472222,TGD
4340,FB571,8/1/2019,0.4375,TGD,8/1/2019,0.513888889,WXJ
4461,FB693,8/1/2019,0.447916667,TGD,8/1/2019,0.513888889,BCJ
4492,FB575,8/1/2019,0.447916667,TGD,8/1/2019,0.510416667,HWJ
4523,FB469,8/1/2019,0.447916667,TGD,8/1/2019,0.555555556,SXA
4554,FB644,8/1/2019,0.447916667,XMJ,8/1/2019,0.520833333,TGD
4585,FB677,8/1/2019,0.447916667,TGD,8/1/2019,0.506944444,THJ
4616,FB1693,8/1/2019,0.451388889,NOU,8/1/2019,0.600694444,SXA
4647,FB282,8/1/2019,0.451388889,OXU,8/1/2019,0.503472222,TGD
4648,FB664,8/1/2019,0.451388889,GKU,8/1/2019,0.527777778,TGD
4761,FB663,8/1/2019,0.458333333,TGD,8/1/2019,0.53125,GKU
4792,FB21,8/1/2019,0.458333333,TGD,8/1/2019,0.503472222,HOM
4916,FB774,8/1/2019,0.461805556,NOU,8/1/2019,0.538194444,HOM
4968,FB1206,8/1/2019,0.465277778,SXA,8/1/2019,0.538194444,FBX
4986,FB764,8/1/2019,0.465277778,SXA,8/1/2019,0.548611111,HOM
5017,FB395,8/1/2019,0.465277778,TGD,8/1/2019,0.506944444,UYS
5069,FB250,8/1/2019,0.472222222,FBX,8/1/2019,0.545138889,TGD
5100,FB1861,8/1/2019,0.475694444,THJ,8/1/2019,0.555555556,SXA
5131,FB624,8/1/2019,0.475694444,XSJ,8/1/2019,0.548611111,TGD
5162,FB741,8/1/2019,0.475694444,TGD,8/1/2019,0.541666667,XBT
5193,FB563,8/1/2019,0.475694444,TGD,8/1/2019,0.534722222,XNZ
5224,FB251,8/1/2019,0.479166667,TGD,8/1/2019,0.555555556,FBX
5275,FB289,8/1/2019,0.479166667,FBX,8/1/2019,0.579861111,NOU
5322,FB58,8/1/2019,0.479166667,NOU,8/1/2019,0.545138889,TGD
5368,FB471,8/1/2019,0.482638889,TGD,8/1/2019,0.59375,SXA
5399,FB2158,8/1/2019,0.486111111,SXA,8/1/2019,0.600694444,TGD
5439,FB1748,8/1/2019,0.489583333,HUK,8/1/2019,0.59375,HOM
5527,FB1142,8/1/2019,0.493055556,NOU,8/1/2019,0.569444444,HOM
5654,FB1863,8/1/2019,0.496527778,UDJ,8/1/2019,0.618055556,SXA
5685,FB623,8/1/2019,0.496527778,TGD,8/1/2019,0.569444444,XSJ
5717,FB1796,8/1/2019,0.5,MMC,8/1/2019,0.600694444,HOM
5778,FB635,8/1/2019,0.5,TGD,8/1/2019,0.565972222,HWX
5809,FB87,8/1/2019,0.5,TGD,8/1/2019,0.618055556,MMY
5871,FB24,8/1/2019,0.5,HOM,8/1/2019,0.552083333,TGD
5872,FB464,8/1/2019,0.5,SXA,8/1/2019,0.607638889,TGD
5926,FB535,8/1/2019,0.503472222,TGD,8/1/2019,0.559027778,OAX
5957,FB706,8/1/2019,0.506944444,NOU,8/1/2019,0.579861111,GKS
5988,FB1173,8/1/2019,0.506944444,XMQ,8/1/2019,0.569444444,NOU
6019,FB1893,8/1/2019,0.510416667,TGD,8/1/2019,0.548611111,TAN
6050,FB386,8/1/2019,0.510416667,YKJ,8/1/2019,0.569444444,TGD
6051,FB982,8/1/2019,0.510416667,TUK,8/1/2019,0.583333333,TGD
6112,FB377,8/1/2019,0.510416667,TGD,8/1/2019,0.579861111,UTC
6143,FB90,8/1/2019,0.513888889,HUK,8/1/2019,0.635416667,TGD
6144,FB252,8/1/2019,0.513888889,FBX,8/1/2019,0.590277778,TGD
6145,FB554,8/1/2019,0.513888889,TXD,8/1/2019,0.572916667,TGD
6382,FB253,8/1/2019,0.524305556,TGD,8/1/2019,0.597222222,FBX
6444,FB1208,8/1/2019,0.527777778,SXA,8/1/2019,0.600694444,FBX
6485,FB996,8/1/2019,0.53125,SXA,8/1/2019,0.638888889,TGD
6537,FB473,8/1/2019,0.538194444,TGD,8/1/2019,0.645833333,SXA
6600,FB25,8/1/2019,0.541666667,TGD,8/1/2019,0.586805556,HOM
6662,FB26,8/1/2019,0.541666667,HOM,8/1/2019,0.59375,TGD
6663,FB572,8/1/2019,0.541666667,WXJ,8/1/2019,0.621527778,TGD
6664,FB678,8/1/2019,0.541666667,THJ,8/1/2019,0.600694444,TGD
6665,FB696,8/1/2019,0.541666667,BCJ,8/1/2019,0.611111111,TGD
6790,FB991,8/1/2019,0.545138889,TGD,8/1/2019,0.604166667,HOM
6821,FB1101,8/1/2019,0.545138889,TGD,8/1/2019,0.597222222,OOJ
6852,FB2154,8/1/2019,0.545138889,NOU,8/1/2019,0.618055556,TGD
6917,FB1169,8/1/2019,0.548611111,HOM,8/1/2019,0.635416667,SXA
6937,FB565,8/1/2019,0.548611111,TGD,8/1/2019,0.607638889,XNZ
6958,FB254,8/1/2019,0.552083333,FBX,8/1/2019,0.625,TGD
7001,FB679,8/1/2019,0.555555556,TGD,8/1/2019,0.611111111,THJ
7032,FB609,8/1/2019,0.555555556,TGD,8/1/2019,0.625,XMH
7060,FB64,8/1/2019,0.5625,NOU,8/1/2019,0.628472222,TGD
7155,FB666,8/1/2019,0.569444444,GKU,8/1/2019,0.645833333,TGD
7157,FB2144,8/1/2019,0.569444444,FBX,8/1/2019,0.65625,TGD
7296,FB766,8/1/2019,0.583333333,SXA,8/1/2019,0.666666667,HOM
7410,FB28,8/1/2019,0.583333333,HOM,8/1/2019,0.635416667,TGD
7448,FB256,8/1/2019,0.586805556,FBX,8/1/2019,0.663194444,TGD
7479,FB1864,8/1/2019,0.586805556,SXA,8/1/2019,0.701388889,UDJ
7510,FB536,8/1/2019,0.590277778,OAX,8/1/2019,0.645833333,TGD
7512,FB2178,8/1/2019,0.590277778,HOM,8/1/2019,0.645833333,TGD
7614,FB257,8/1/2019,0.59375,TGD,8/1/2019,0.666666667,FBX
7645,FB655,8/1/2019,0.59375,TGD,8/1/2019,0.645833333,SXJ
