EmpNo,Captain,FirstOfficer,Deadhead,Base,DutyCostPerHr,ParingCostPerHr
B0001,1,1,1,241,640,20
B0002,1,1,1,241,640,20
B0003,1,1,1,241,640,20
B0004,1,1,1,241,640,20
B0005,1,1,1,241,640,20
B0006,1,1,1,241,640,20
B0007,1,1,1,241,640,20
B0008,1,1,1,241,640,20
B0009,1,1,1,241,640,20
B0010,1,1,1,241,640,20
B0011,1,1,1,241,640,20
B0012,1,1,1,241,640,20
B0013,1,1,1,241,640,20
B0014,1,1,1,241,640,20
B0015,1,1,1,241,640,20
B0016,1,1,1,241,640,20
B0017,1,1,1,241,640,20
B0018,1,1,1,241,640,20
B0019,1,1,1,241,640,20
B0020,1,1,1,241,640,20
B0021,1,0,1,241,680,20
B0022,1,0,1,241,680,20
B0023,1,0,1,241,680,20
B0024,1,0,1,241,680,20
B0025,1,0,1,241,680,20
B0026,1,0,1,241,680,20
B0027,1,0,1,241,680,20
B0028,1,0,1,241,680,20
B0029,1,0,1,241,680,20
B0030,1,0,1,241,680,20
B0031,1,0,1,241,680,20
B0032,1,0,1,241,680,20
B0033,1,0,1,241,680,20
B0034,1,0,1,241,680,20
B0035,1,0,1,241,680,20
B0036,1,0,1,241,680,20
B0037,1,0,1,241,680,20
B0038,1,0,1,241,680,20
B0039,1,0,1,241,680,20
B0040,1,0,1,241,680,20
B0041,1,0,1,241,680,20
B0042,1,0,1,241,680,20
B0043,1,0,1,241,680,20
B0044,1,0,1,241,680,20
B0045,1,0,1,241,680,20
B0046,1,0,1,241,680,20
B0047,1,0,1,241,680,20
B0048,1,0,1,241,680,20
B0049,0,1,1,241,600,20
B0050,0,1,1,241,600,20
B0051,0,1,1,241,600,20
B0052,0,1,1,241,600,20
B0053,0,1,1,241,600,20
B0054,0,1,1,241,600,20
B0055,0,1,1,241,600,20
B0056,0,1,1,241,600,20
B0057,0,1,1,241,600,20
B0058,0,1,1,241,600,20
B0059,0,1,1,241,600,20
B0060,0,1,1,241,600,20
B0061,0,1,1,241,600,20
B0062,0,1,1,241,600,20
B0063,0,1,1,241,600,20
B0064,0,1,1,241,600,20
B0065,0,1,1,241,600,20
B0066,0,1,1,241,600,20
B0067,0,1,1,241,600,20
B0068,0,1,1,241,600,20
B0069,0,1,1,241,600,20
B0070,0,1,1,241,600,20
B0071,0,1,1,241,600,20
B0072,0,1,1,241,600,20
B0073,1,1,1,242,640,20
B0074,1,1,1,242,640,20
B0075,1,1,1,242,640,20
B0076,1,1,1,242,640,20
B0077,1,1,1,242,640,20
B0078,1,1,1,242,640,20
B0079,1,1,1,242,640,20
B0080,1,1,1,242,640,20
B0081,1,1,1,242,640,20
B0082,1,1,1,242,640,20
B0083,1,1,1,242,640,20
B0084,1,1,1,242,640,20
B0085,1,1,1,242,640,20
B0086,1,1,1,242,640,20
B0087,1,1,1,242,640,20
B0088,1,1,1,242,640,20
B0089,1,1,1,242,640,20
B0090,1,1,1,242,640,20
B0091,1,1,1,242,640,20
B0092,1,1,1,242,640,20
B0093,1,1,1,242,640,20
B0094,1,1,1,242,640,20
B0095,1,1,1,242,640,20
B0096,1,1,1,242,640,20
B0097,1,1,1,242,640,20
B0098,1,1,1,242,640,20
B0099,1,1,1,242,640,20
B0100,1,1,1,242,640,20
B0101,1,1,1,242,640,20
B0102,1,1,1,242,640,20
B0103,1,1,1,242,640,20
B0104,1,1,1,242,640,20
B0105,1,1,1,242,640,20
B0106,1,1,1,242,640,20
B0107,1,1,1,242,640,20
B0108,1,1,1,242,640,20
B0109,1,1,1,242,640,20
B0110,1,1,1,242,640,20
B0111,1,1,1,242,640,20
B0112,1,1,1,242,640,20
B0113,1,1,1,242,640,20
B0114,1,1,1,242,640,20
B0115,1,1,1,242,640,20
B0116,1,1,1,242,640,20
B0117,1,1,1,242,640,20
B0118,1,1,1,242,640,20
B0119,1,1,1,242,640,20
B0120,1,1,1,242,640,20
B0121,1,1,1,242,640,20
B0122,1,1,1,242,640,20
B0123,1,1,1,242,640,20
B0124,1,1,1,242,640,20
B0125,1,1,1,242,640,20
B0126,1,1,1,242,640,20
B0127,1,1,1,242,640,20
B0128,1,1,1,242,640,20
B0129,1,1,1,242,640,20
B0130,1,1,1,242,640,20
B0131,1,1,1,242,640,20
B0132,1,1,1,242,640,20
B0133,1,1,1,242,640,20
B0134,1,1,1,242,640,20
B0135,1,1,1,242,640,20
B0136,1,1,1,242,640,20
B0137,1,1,1,242,640,20
B0138,1,1,1,242,640,20
B0139,1,1,1,242,640,20
B0140,1,1,1,242,640,20
B0141,1,1,1,242,640,20
B0142,1,1,1,242,640,20
B0143,1,1,1,242,640,20
B0144,1,1,1,242,640,20
B0145,1,1,1,242,640,20
B0146,1,1,1,242,640,20
B0147,1,1,1,242,640,20
B0148,1,1,1,242,640,20
B0149,1,1,1,242,640,20
B0150,1,1,1,242,640,20
B0151,1,1,1,242,640,20
B0152,1,1,1,242,640,20
B0153,1,1,1,242,640,20
B0154,1,1,1,242,640,20
B0155,1,1,1,242,640,20
B0156,1,1,1,242,640,20
B0157,1,1,1,242,640,20
B0158,1,1,1,242,640,20
B0159,1,1,1,242,640,20
B0160,1,1,1,242,640,20
B0161,1,1,1,242,640,20
B0162,1,1,1,242,640,20
B0163,1,1,1,242,640,20
B0164,1,1,1,242,640,20
B0165,1,1,1,242,640,20
B0166,1,1,1,242,640,20
B0167,1,1,1,242,640,20
B0168,1,1,1,242,640,20
B0169,1,1,1,242,640,20
B0170,1,1,1,242,640,20
B0171,1,1,1,242,640,20
B0172,1,1,1,242,640,20
B0173,1,1,1,242,640,20
B0174,1,1,1,242,640,20
B0175,1,1,1,242,640,20
B0176,1,1,1,242,640,20
B0177,1,0,1,242,680,20
B0178,1,0,1,242,680,20
B0179,1,0,1,242,680,20
B0180,1,0,1,242,680,20
B0181,1,0,1,242,680,20
B0182,1,0,1,242,680,20
B0183,1,0,1,242,680,20
B0184,1,0,1,242,680,20
B0185,1,0,1,242,680,20
B0186,1,0,1,242,680,20
B0187,1,0,1,242,680,20
B0188,1,0,1,242,680,20
B0189,1,0,1,242,680,20
B0190,1,0,1,242,680,20
B0191,1,0,1,242,680,20
B0192,1,0,1,242,680,20
B0193,1,0,1,242,680,20
B0194,1,0,1,242,680,20
B0195,1,0,1,242,680,20
B0196,1,0,1,242,680,20
B0197,1,0,1,242,680,20
B0198,1,0,1,242,680,20
