Time_start,Day_start,Time_flight,Time_duty,Time_end,Flight_num
00:05,8/1/2019,355,720,12:05,"FB8559,FB1000,FB293,FB294,FB21"
00:05,8/2/2019,385,615.000000003492,12:20,"FB8559,FB1000,FB293,FB294,FB693"
07:40,8/3/2019,450,689.999999996508,20:50,"FB692,FB793,FB796,FB645,FB648,FB321"
09:35,8/4/2019,310,430.000000008149,17:55,"FB316,FB741,FB742,FB455"
10:00,8/5/2019,165,564.999999997672,21:10,"FB454,FB555,FB558"
08:10,8/6/2019,470,709.999999998836,21:25,"FB561,FB564,FB589,FB592,FB265,FB270"
08:30,8/7/2019,420,624.999999994179,20:40,"FB243,FB250,FB625,FB628,FB649"
08:25,8/8/2019,435,654.999999997672,21:00,"FB642,FB663,FB666,FB263,FB268"
08:00,8/9/2019,445,695.000000002328,20:40,"FB15,FB735,FB1863,FB1862,FB686"
07:45,8/10/2019,520,705.000000003492,20:45,"FB531,FB534,FB91,FB92,FB799"
10:30,8/11/2019,395,540,21:05,"FB794,FB473,FB472,FB599"
09:25,8/12/2019,395,525.000000003492,19:40,"FB584,FB471,FB470,FB495"
07:40,8/13/2019,390,604.999999991851,19:00,"FB492,FB585,FB590,FB405,FB408,FB557"
12:20,8/14/2019,280,385.000000008149,20:10,"FB554,FB475,FB308"
07:40,8/15/2019,390,604.999999991851,19:00,"FB492,FB585,FB590,FB405,FB408,FB557"
12:20,8/16/2019,280,385.000000008149,20:10,"FB554,FB475,FB308"
07:40,8/17/2019,390,604.999999991851,19:00,"FB492,FB585,FB590,FB405,FB408,FB557"
12:20,8/18/2019,280,385.000000008149,20:10,"FB554,FB475,FB308"
07:40,8/19/2019,460,675,20:10,"FB492,FB585,FB590,FB27,FB777,FB578"
07:30,8/20/2019,415,619.999999998836,19:05,"FB14,FB57,FB1142,FB1141,FB74"
06:10,8/21/2019,335,589.999999995343,18:50,"FB89,FB1748,FB30,FB265"
07:00,8/22/2019,495,690.000000006985,20:10,"FB240,FB995,FB1208,FB1209,FB308"
07:40,8/23/2019,390,604.999999991851,19:00,"FB492,FB585,FB590,FB405,FB408,FB557"
12:20,8/24/2019,280,385.000000008149,20:10,"FB554,FB475,FB308"
07:40,8/25/2019,390,604.999999991851,19:00,"FB492,FB585,FB590,FB405,FB408,FB557"
12:20,8/26/2019,280,385.000000008149,20:10,"FB554,FB475,FB308"
07:40,8/27/2019,460,675,20:10,"FB492,FB585,FB590,FB27,FB777,FB578"
07:30,8/28/2019,415,619.999999998836,19:05,"FB14,FB57,FB1142,FB1141,FB74"
06:10,8/29/2019,335,589.999999995343,18:50,"FB89,FB1748,FB30,FB265"
07:00,8/30/2019,495,690.000000006985,20:10,"FB240,FB995,FB1208,FB1209,FB308"
07:00,8/1/2019,415,720,19:00,"FB94,FB747,FB748,FB253,FB258,FB557"
12:20,8/2/2019,280,385.000000008149,20:10,"FB554,FB475,FB308"
07:40,8/3/2019,460,675,20:10,"FB492,FB585,FB590,FB27,FB777,FB578"
07:30,8/4/2019,415,619.999999998836,19:05,"FB14,FB57,FB1142,FB1141,FB74"
06:10,8/5/2019,335,589.999999995343,18:50,"FB89,FB1748,FB30,FB265"
07:00,8/6/2019,495,690.000000006985,20:10,"FB240,FB995,FB1208,FB1209,FB308"
07:40,8/7/2019,460,675,20:10,"FB492,FB585,FB590,FB27,FB777,FB578"
07:30,8/8/2019,415,619.999999998836,19:05,"FB14,FB57,FB1142,FB1141,FB74"
06:10,8/9/2019,370,675,20:15,"FB89,FB1748,FB30,FB35,FB38"
07:25,8/10/2019,440,655.000000008149,20:10,"FB241,FB1205,FB1208,FB1209,FB308"
07:40,8/11/2019,390,604.999999991851,19:00,"FB492,FB585,FB590,FB405,FB408,FB557"
12:20,8/12/2019,280,385.000000008149,20:10,"FB554,FB475,FB308"
08:40,8/13/2019,260,365.000000005821,17:00,"FB301,FB2158,FB697"
07:40,8/14/2019,270,405,16:05,"FB692,FB793,FB796,FB385"
07:20,8/15/2019,495,690.000000006985,20:10,"FB382,FB995,FB1208,FB1209,FB308"
07:40,8/16/2019,390,604.999999991851,19:00,"FB492,FB585,FB590,FB405,FB408,FB557"
12:20,8/17/2019,280,385.000000008149,20:10,"FB554,FB475,FB308"
07:40,8/18/2019,390,604.999999991851,19:00,"FB492,FB585,FB590,FB405,FB408,FB557"
12:20,8/19/2019,280,385.000000008149,20:10,"FB554,FB475,FB308"
07:40,8/20/2019,460,675,20:10,"FB492,FB585,FB590,FB27,FB777,FB578"
07:30,8/21/2019,415,619.999999998836,19:05,"FB14,FB57,FB1142,FB1141,FB74"
06:10,8/22/2019,335,589.999999995343,18:50,"FB89,FB1748,FB30,FB265"
07:00,8/23/2019,495,690.000000006985,20:10,"FB240,FB995,FB1208,FB1209,FB308"
07:40,8/24/2019,460,675,20:10,"FB492,FB585,FB590,FB27,FB777,FB578"
07:30,8/25/2019,415,619.999999998836,19:05,"FB14,FB57,FB1142,FB1141,FB74"
06:10,8/26/2019,220,425.000000002328,16:05,"FB89,FB1748,FB547"
08:00,8/27/2019,430,625.000000004657,20:10,"FB620,FB249,FB254,FB261,FB266"
07:25,8/28/2019,440,655.000000008149,20:10,"FB241,FB1205,FB1208,FB1209,FB308"
07:40,8/29/2019,460,675,20:10,"FB492,FB585,FB590,FB27,FB777,FB578"
07:30,8/30/2019,415,619.999999998836,19:05,"FB14,FB57,FB1142,FB1141,FB74"
07:05,8/1/2019,405,699.999999997672,18:45,"FB412,FB245,FB289,FB68,FB85"
07:40,8/2/2019,460,675,20:10,"FB492,FB585,FB590,FB27,FB777,FB578"
07:30,8/3/2019,415,619.999999998836,19:05,"FB14,FB57,FB1142,FB1141,FB74"
06:10,8/4/2019,335,589.999999995343,18:50,"FB89,FB1748,FB30,FB265"
07:00,8/5/2019,495,690.000000006985,20:10,"FB240,FB995,FB1208,FB1209,FB308"
07:40,8/6/2019,460,675,20:10,"FB492,FB585,FB590,FB27,FB777,FB578"
07:30,8/7/2019,415,619.999999998836,19:05,"FB14,FB57,FB1142,FB1141,FB74"
06:10,8/8/2019,335,589.999999995343,18:50,"FB89,FB1748,FB30,FB265"
07:00,8/9/2019,495,690.000000006985,20:10,"FB240,FB995,FB1208,FB1209,FB308"
07:40,8/10/2019,460,675,20:10,"FB492,FB585,FB590,FB27,FB777,FB578"
07:30,8/11/2019,415,619.999999998836,19:05,"FB14,FB57,FB1142,FB1141,FB74"
06:10,8/12/2019,335,589.999999995343,18:50,"FB89,FB1748,FB30,FB265"
07:00,8/13/2019,495,690.000000006985,20:10,"FB240,FB995,FB1208,FB1209,FB308"
07:40,8/14/2019,390,604.999999991851,19:00,"FB492,FB585,FB590,FB405,FB408,FB557"
12:20,8/15/2019,390,560.000000002328,23:05,"FB554,FB475,FB474,FB8569"
10:25,8/16/2019,375,669.999999994179,22:20,"FB1605,FB566,FB261,FB266,FB99"
09:55,8/17/2019,460,714.999999994179,23:05,"FB735,FB1863,FB1862,FB686,FB8569"
10:25,8/18/2019,375,614.999999993015,21:25,"FB1605,FB566,FB477,FB476"
08:30,8/19/2019,420,624.999999994179,20:40,"FB243,FB250,FB625,FB628,FB649"
08:25,8/20/2019,435,654.999999997672,21:00,"FB642,FB663,FB666,FB263,FB268"
08:00,8/21/2019,445,695.000000002328,20:40,"FB15,FB735,FB1863,FB1862,FB686"
07:45,8/22/2019,520,705.000000003492,20:45,"FB531,FB534,FB91,FB92,FB699"
13:00,8/23/2019,95.0000000000001,140.000000005821,17:00,"FB696,FB697"
07:40,8/24/2019,450,689.999999996508,20:50,"FB692,FB793,FB796,FB645,FB648,FB321"
09:35,8/25/2019,310,430.000000008149,17:55,"FB316,FB741,FB742,FB455"
10:00,8/26/2019,380,564.999999997672,21:10,"FB454,FB253,FB258,FB557,FB558"
08:10,8/27/2019,470,709.999999998836,21:25,"FB561,FB564,FB589,FB592,FB265,FB270"
08:30,8/28/2019,420,624.999999994179,20:40,"FB243,FB250,FB625,FB628,FB649"
08:25,8/29/2019,435,654.999999997672,21:00,"FB642,FB663,FB666,FB263,FB268"
08:00,8/30/2019,445,695.000000002328,20:40,"FB15,FB735,FB1863,FB1862,FB686"
07:05,8/1/2019,460,709.999999998836,18:55,"FB986,FB787,FB788,FB473,FB472"
06:10,8/2/2019,335,589.999999995343,18:50,"FB89,FB1748,FB30,FB265"
07:00,8/3/2019,495,690.000000006985,20:10,"FB240,FB995,FB1208,FB1209,FB308"
07:40,8/4/2019,460,675,20:10,"FB492,FB585,FB590,FB27,FB777,FB578"
07:30,8/5/2019,415,619.999999998836,19:05,"FB14,FB57,FB1142,FB1141,FB74"
06:10,8/6/2019,370,675,20:15,"FB89,FB1748,FB30,FB35,FB38"
07:25,8/7/2019,440,655.000000008149,20:10,"FB241,FB1205,FB1208,FB1209,FB308"
07:40,8/8/2019,460,675,20:10,"FB492,FB585,FB590,FB27,FB777,FB578"
07:30,8/9/2019,415,619.999999998836,19:05,"FB14,FB57,FB1142,FB1141,FB74"
06:10,8/10/2019,370,675,20:15,"FB89,FB1748,FB30,FB35,FB38"
07:25,8/11/2019,440,655.000000008149,20:10,"FB241,FB1205,FB1208,FB1209,FB308"
07:40,8/12/2019,390,604.999999991851,19:00,"FB492,FB585,FB590,FB405,FB408,FB557"
12:20,8/13/2019,390,560.000000002328,23:05,"FB554,FB475,FB474,FB8569"
10:25,8/14/2019,375,669.999999994179,22:20,"FB1605,FB566,FB261,FB266,FB99"
09:55,8/15/2019,370,569.999999993015,20:40,"FB735,FB1863,FB1862,FB686"
07:45,8/16/2019,520,705.000000003492,20:45,"FB531,FB534,FB91,FB92,FB799"
10:30,8/17/2019,395,540,21:05,"FB794,FB473,FB472,FB599"
09:25,8/18/2019,395,525.000000003492,19:40,"FB584,FB471,FB470,FB495"
08:40,8/19/2019,260,365.000000005821,17:00,"FB301,FB2158,FB697"
07:40,8/20/2019,450,689.999999996508,20:50,"FB692,FB793,FB796,FB645,FB648,FB321"
09:35,8/21/2019,310,430.000000008149,17:55,"FB316,FB741,FB742,FB455"
10:00,8/22/2019,165,564.999999997672,21:10,"FB454,FB555,FB558"
08:10,8/23/2019,470,709.999999998836,21:25,"FB561,FB564,FB589,FB592,FB265,FB270"
08:30,8/24/2019,420,624.999999994179,20:40,"FB243,FB250,FB625,FB628,FB649"
08:25,8/25/2019,435,654.999999997672,21:00,"FB642,FB663,FB666,FB263,FB268"
08:00,8/26/2019,445,695.000000002328,20:40,"FB15,FB735,FB1863,FB1862,FB686"
07:45,8/27/2019,520,705.000000003492,20:45,"FB531,FB534,FB91,FB92,FB699"
