firstDutyStartDay,lastDutyStartDay,Pairing_time,PairingFlight,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20,node_21,node_22,node_23,node_24,node_25,node_26,node_27,node_28,node_29,node_30,node_31,node_32,node_33,node_34,EmpNo
8/1/2019,8/4/2019,4130.00000000931,"FB8559,FB1000,FB293,FB294,FB21,FB545,FB548,FB549,FB552,FB416,FB89,FB1748,FB30,FB35,FB38,FB99,FB8559,FB1000,FB293,FB294,FB21,FB26,FB681,FB682,FB699,FB692,FB793,FB796,FB645,FB648,FB321",1,3,10,85,157,215,262,319,380,443,457,630,720,773,842,893,903,905,912,987,1059,1120,1165,1228,1294,1397,1479,1555,1610,1684,1765,,,,1
8/6/2019,8/9/2019,3385.00000000116,"FB312,FB747,FB748,FB253,FB258,FB557,FB558,FB999,FB1000,FB293,FB294,FB693,FB700,FB79,FB50,FB247,FB252,FB681,FB682,FB699,FB692,FB793,FB796,FB385,FB390,FB999",2265,2327,2384,2447,2510,2585,2653,2687,2690,2697,2771,2832,3032,3106,3177,3258,3341,3403,3468,3536,3645,3728,3804,3860,4036,4055,,,,,,,,,1
8/11/2019,8/14/2019,3460.00000001513,"FB1000,FB293,FB294,FB693,FB700,FB79,FB50,FB247,FB252,FB749,FB750,FB617,FB502,FB735,FB1863,FB1862,FB686,FB8569,FB8559,FB1000,FB293,FB294,FB21,FB26,FB749,FB750,FB617",4514,4519,4596,4657,4862,4938,4999,5081,5164,5226,5282,5349,5460,5545,5607,5709,5824,5875,5880,5882,5889,5965,6036,6097,6143,6199,6266,,,,,,,,1
8/1/2019,8/4/2019,3425.00000000582,"FB94,FB747,FB748,FB253,FB258,FB557,FB558,FB999,FB1000,FB293,FB294,FB693,FB700,FB79,FB50,FB247,FB252,FB385,FB390,FB999,FB1000,FB293,FB294,FB693,FB700,FB79",17,88,145,208,273,349,418,452,455,462,536,597,797,869,940,1021,1104,1166,1335,1352,1353,1358,1433,1494,1694,1766,,,,,,,,,2
8/6/2019,8/9/2019,3000.00000001397,"FB50,FB247,FB252,FB681,FB682,FB699,FB692,FB793,FB796,FB645,FB648,FB321,FB312,FB747,FB748,FB555,FB558,FB999,FB1000,FB293,FB294,FB693,FB700,FB79",2277,2358,2441,2501,2563,2629,2735,2817,2893,2948,3022,3105,3165,3226,3284,3347,3561,3596,3599,3606,3682,3743,3949,4022,,,,,,,,,,,2
8/11/2019,8/14/2019,3195.00000001048,"FB50,FB247,FB252,FB749,FB750,FB617,FB502,FB735,FB1863,FB1862,FB686,FB999,FB1000,FB293,FB294,FB693,FB700,FB79,FB50,FB247,FB252,FB681,FB682,FB799",4547,4630,4712,4774,4832,4899,5001,5085,5147,5250,5365,5419,5423,5430,5507,5568,5772,5847,5916,5998,6081,6145,6209,6275,,,,,,,,,,,2
8/16/2019,8/19/2019,2765.00000002328,"FB792,FB19,FB775,FB68,FB37,FB511,FB502,FB735,FB1863,FB1862,FB686,FB8569,FB94,FB747,FB748,FB555,FB558,FB239,FB244,FB741,FB742,FB455",6845,6924,6984,7083,7161,7226,7300,7385,7447,7550,7666,7717,7734,7806,7864,7926,8139,8173,8261,8335,8401,8467,,,,,,,,,,,,,2
8/1/2019,8/4/2019,2775.00000001397,"FB412,FB245,FB289,FB68,FB85,FB717,FB50,FB247,FB252,FB681,FB682,FB699,FB692,FB793,FB796,FB645,FB648,FB321,FB312,FB747,FB748,FB555,FB558",22,91,173,282,351,406,489,570,653,714,777,843,951,1033,1109,1164,1238,1319,1374,1436,1493,1556,1764,,,,,,,,,,,,3
8/6/2019,8/9/2019,3335.0000000163,"FB89,FB1748,FB30,FB35,FB38,FB99,FB8559,FB8558,FB531,FB534,FB91,FB92,FB699,FB692,FB793,FB796,FB645,FB648,FB321,FB312,FB747,FB748,FB555,FB558",2244,2418,2507,2559,2628,2679,2688,2691,2736,2804,2869,2968,3079,3188,3270,3346,3402,3479,3562,3621,3684,3742,3805,4019,,,,,,,,,,,3
8/11/2019,8/14/2019,3095.00000001979,"FB89,FB1748,FB30,FB35,FB38,FB99,FB94,FB747,FB748,FB555,FB558,FB89,FB1748,FB30,FB35,FB38,FB99,FB94,FB747,FB748,FB555,FB558,FB999",4515,4690,4781,4838,4907,4961,4979,5050,5108,5170,5385,5425,5601,5692,5747,5816,5870,5896,5967,6025,6087,6302,6337,,,,,,,,,,,,3
