item_id,item_material,item_num,item_length,item_width,item_order
0,YW1-0218S,1,858,337.5,539
1,YW1-0218S,1,425.5,192,317
2,YW1-0218S,1,195,48,317
3,YW1-0215S,1,302,480,392
4,YW1-0215S,1,1022,330,227
5,YW1-0218S,1,781,58,515
6,YW1-0218S,1,1483,269,38
7,YMH-0215S,1,405,92.5,226
8,5-0218S,1,781,466.5,222
9,YW1-0215S,1,498,971,174
10,YMH-0218SD,1,1758,58,371
11,YW1-0218S,1,379,526,516
12,YW1-0215S,1,2101,427.5,544
13,YW1-0218S,1,2260,377,404
14,5-0218S,1,892,475.5,71
15,YW1-0218S,1,361,298,426
16,YW1-0218S,1,838,559,130
17,YW1-0218S,1,463,560,130
18,YW1-0218S,1,630,297,120
19,5-0218S,1,494.5,447.5,319
20,YW1-0218S,1,927,58,225
21,YW1-0218S,1,451,161,516
22,YW1-0218S,1,530,378,228
23,YW1-0218S,1,482,58,223
24,YW1-0218S,1,703,269,38
25,YW1-0215S,1,803,449,322
26,YW1-0218S,1,326,38,226
27,YW1-0218S,1,699,327,425
28,YW1-0218S,1,608,480,192
29,YW1-0218S,1,498,560,139
30,YW1-0218SD,1,971,557,174
31,YW1-0218S,1,841,594,34
32,YW1-0215S,1,629,132.5,541
33,YW1-0218S,1,367,538,516
34,YW1-0218S,1,2098,580,427
35,YW1-0218SD,1,1803,58,319
36,YW1-0218S,1,948,58,36
37,YW1-0215S,1,2291,756,514
39,YW1-0218S,1,548,268,71
40,YW1-0218S,1,998,56,222
41,YW1-0218S,1,898,38,141
42,YW1-0218S,1,345,58,470
43,YW1-0218S,1,2098,348,469
44,YW1-0215S,1,338,118,482
45,YW1-0215S,1,353,172.5,36
46,YW1-0218S,1,1198,698,141
47,YW1-0218S,1,2438,38,543
48,YW1-0218S,1,642,294,485
49,YW1-0218S,1,749,536,542
50,YW1-0218S,1,462,58,222
51,NJYH-0218S,1,798,38,21
52,YW1-0218SD,1,494.5,479,471
53,XXB-0215S,1,425,92.5,424
54,YW1-0218S,1,425,655,541
55,XXB-0218S,1,681,291,140
56,YW1-0218S,1,482,326,223
57,YW1-0218S,1,731.5,224.1,38
58,YW1-0218S,1,914,38,222
59,CBZP-0218S,1,231,227.5,226
60,YW1-0218S,1,970,536,174
61,YW1-0218S,1,504,58,225
62,YW1-0218S,1,533,530,350
63,YW1-0218S,1,410,378,481
64,YW1-0218S,1,771,58,424
65,YW1-0218S,1,2182,58,539
66,YW1-0218S,1,302,376,392
67,YW1-0218S,1,341,298,386
