item_id,item_material,item_num,item_length,item_width,item_,order
0,QKQ-0218S,1,834,369.3,order,409
1,QKQ-0218S,1,835.5,242,order,1
2,QKQ-0218S,1,915,529,order,66
3,QKQ-0218SD,1,545,108,order,316
4,XMJQ-0218S,1,823,277.5,order,322
5,QKQ-0218S,1,788,178,order,1
6,NMYH-0215S,1,459.5,721,order,293
7,QKQ-0218S,1,759,340,order,237
8,QKQ-0218S,1,2098,530,order,122
9,QKQ-0218S,1,769,184.5,order,127
10,QKQ-0218S,1,218,226,order,216
11,XMJQ-0215S,1,461,52.5,order,322
12,QKQ-0215S,1,473,339,order,354
13,QKQ-0215S,1,561.5,339,order,313
14,NMYH-0218S,1,401,259.5,order,310
15,QKQ-0218S,1,2324,526,order,66
17,QKQ-0218SD,1,2078,58,order,120
18,QKQ-0215S,1,714,132.5,order,320
19,QKQ-0215S,1,725,439,order,46
20,QKQ-0218S,1,851,374,order,240
21,QKQ-0218S,1,425,377,order,127
22,QKQ-0215S,1,515,172.5,order,18
23,FMB-0215S,1,288,118,order,410
24,QKQ-0218S,1,759,340,order,237
25,QKQ-0218S,1,850,347.5,order,311
26,QKQ-0218S,1,231,279,order,409
27,NMYH-0218S,1,973,388,order,354
28,QKQ-0218S,1,1108,58,order,125
29,NMYH-0218S,1,498,559.5,order,292
30,QKQ-0218S,1,2140,398,order,116
31,YMH-0218SD,1,2434.5,445,order,109
32,NMYH-0218S,1,578,280,order,354
33,QKQ-0218S,1,767,579,order,319
34,ZZL-0218S,1,411,114,order,330
35,NMYH-0218S,1,451,310,order,93
36,NMYH-0218S,1,313,58,order,95
37,XMJQ-0218S,1,261.5,297,order,18
38,XMJQ-0218S,1,562,508,order,322
39,QKQ-0218S,1,1147,58,order,120
40,QKQ-0218SD,1,1147,527,order,120
41,QKQ-0218S,1,711,552,order,304
42,QKQ-0218S,1,268,280,order,409
43,QKQ-0218SD,1,395,447,order,100
44,QKQ-0218S,1,1301,58,order,121
45,QKQ-0218S,1,754,433,order,1
46,QKQ-0215S,1,801,745.5,order,409
47,QKQ-0218S,1,834,369.3,order,409
48,QKQ-0218SD,1,1336,58,order,127
49,QKQ-0215S,1,563,172.5,order,215
50,NMYH-0218S,1,871,577,order,109
51,NMYH-0218S,1,870,558,order,108
52,NMYH-0218S,1,871,579,order,108
53,QKQ-0218S,1,552,379,order,374
54,QKQ-0218S,1,1048,380,order,374
55,NMYH-0215S,1,2301,371,order,57
56,NMYH-0218S,1,276,58,order,89
57,JH-0215S,1,1212,962,order,317
58,XMJQ-0215S,1,488,78,order,322
59,QKQ-0218S,1,915,58,order,66
60,YW10-0215S,1,198,897,order,97
61,QKQ-0218S,1,493.5,424,order,122
62,QKQ-0218S,1,309,218.5,order,125
63,NMYH-0218S,1,721,58,order,293
64,QKQ-0218S,1,1612,397,order,261
65,NMYH-0218S,1,842,279,order,310
66,QKQ-0218S,1,721,835.5,order,1
67,QKQ-0218S,1,505,505,order,322
68,NMYH-0218S,1,1998,580,order,109
69,NMYH-0218S,1,402,279,order,310
70,JH-0218S,1,298,280,order,310
71,QKQ-0215S,1,388,78,order,304
72,QKQ-0218S,1,862,573,order,53
73,NMYH-0218S,1,389.5,429,order,301
74,NMYH-0218S,1,1390,387,order,354
75,NMYH-0218S,1,498,480,order,292
76,QKQ-0218S,1,608,1048,order,125
77,QKQ-0215S,1,288,158,order,320
78,QKQ-0218S,1,1001,292,order,43
79,QKQ-0218SD,1,599,58,order,319
80,XXB-0215S,1,288,118,order,181
81,NMYH-0218S,1,647,378,order,309
82,QKQ-0218S,1,988,400,order,40
83,PSH-0418S,1,944,381.5,order,184
