item_id,item_material,item_num,item_length,item_width,item_
0,YTM-0218S,1,878,300,267
1,YTM-0218S,1,762,558,17
2,YTM-0218S,1,742,558,16
3,YTM-0218S,1,1962,297,21
4,YTM-0218S,1,798,601,116
5,MNH-0218S,1,347,340,299
6,MNH-0218SD,1,312,449,260
7,MNH-0215S,1,488,118,35
8,MNH-0218S,1,759,300,362
9,MNH-0218S,1,2098,363,259
10,MNH-0215S,1,458,489,34
11,MNH-0215S,1,2101,762,184
12,MNH-0218S,1,762,58,184
13,MNH-0218S,1,617.5,368,184
14,MNH-0218SD,1,431,58,31
15,MNH-0218S,1,155,518,237
16,MNH-0218S,1,746,58,108
17,MNH-0218SD,1,1179,427,326
18,YTM-0218S,1,698,402,329
19,MNH-0218S,1,180,358,328
20,MNH-0218S,1,758,430,328
21,MNH-0218S,1,990,372,379
22,MNH-0218S,1,121,48,39
23,YGKQ-0418S,1,654.5,383.5,59
24,XXB-0218S,1,422,435.8,156
25,MNH-0218S,1,498,348,151
26,MNH-0215S,1,2226,404,153
27,YTM-0218S,1,714,328,265
28,YTM-0215S,1,1942,821,268
29,YTM-0215S,1,288,158,268
30,5-0218S,1,2124,385,16
31,YTM-0218S,1,748,565,116
32,MNH-0218S,1,2340,58,311
33,YTM-0218S,1,898,402,329
34,NJYH-0215S,1,338,78,328
35,MNH-0218S,1,858,282,184
36,MNH-0225S,1,1598,348,31
37,MNH-0218S,1,402,58,60
38,MNH-0218S,1,2323,280,153
39,MNH-0218S,1,392,503,147
40,MNH-0215S,1,414.5,746,108
41,SRBW-0215S,1,690,489,108
42,MNH-0218S,1,472,410,326
43,MNH-0218S,1,748,310,310
44,MNH-0218S,1,562,339,39
45,MNH-0218S,1,366,324.5,40
46,MNH-0218S,1,832,58,138
47,MNH-0218S,1,835,98,333
48,MNH-0215S,1,2300.5,756,59
49,YTM-0218S,1,587,327,268
50,YTM-0215S,1,438,158,269
51,YTM-0215S,1,438,118,269
52,YTM-0218S,1,433,328,267
53,YTM-0218S,1,1960,58,21
54,MNH-0218S,1,484,48,299
55,MNH-0215S,1,438,238,34
56,MNH-0218S,1,598,448,184
57,MNH-0218S,1,339,410,33
58,MNH-0215S,1,655,92.5,30
59,MNH-0218S,1,371,245.5,30
60,MNH-0215S,1,665,239,30
61,MNH-0218S,1,433,333,147
62,MNH-0215S,1,488,158,41
63,MNH-0218S,1,687,277,43
64,MNH-0215S,1,288,78,325
65,MNH-0218S,1,692.5,170,325
66,QKQ-0218S,1,694,538,329
67,MNH-0215S,1,754,616,379
68,QKQ-0215S,1,238,158,380
69,MNH-0218S,1,1167,354,295
70,MNH-0218S,1,1178,228,250
71,MNH-0218SD,1,279,148,150
72,MNH-0215S,1,202,757.5,150
73,YTM-0218S,1,587,58,268
74,YTM-0218S,1,1326,268,268
75,YTM-0215S,1,1288.5,293,268
76,YTM-0218S,1,2348,118,20
78,5-0218S,1,2174,395,17
79,MNH-0215S,1,659.5,398,35
80,PSXH-0418S,1,914,418,360
81,MNH-0218S,1,663,532,357
82,YSH-0218S,1,527.5,995,362
84,MNH-0218S,1,198,328,325
85,MNH-0215S,1,392,489,110
86,MNH-0218S,1,561,725,34
87,MNH-0218S,1,762,293.5,31
88,MNH-0215S,1,301.5,52.5,33
89,QKQ-0218S,1,622,545,61
90,YTM-0225S,1,489,338,55
91,YTM-0215S,1,638,372.5,56
92,MNH-0218S,1,2212,317,58
93,NDSF-0218S,1,258,268,156
94,MNH-0218S,1,720,634,151
95,YTM-0218S,1,762,579,16
96,YTM-0215S,1,2181,1012,118
97,YTM-0215S,1,2231,442,117
98,MNH-0218S,1,443.5,520,308
99,MNH-0215S,1,631.5,388,29
100,MNH-0218S,1,746,508,377
101,5-0218S,1,657,194,16
102,YTM-0218S,1,1819.5,297,21
103,MNH-0215S,1,406,339,308
104,MNH-0218S,1,473,450,138
105,MNH-0218S,1,1498,338,58
106,XXB-0218S,1,1930,374,152
107,MNH-0218S,1,859,408,184
108,QKQ-0218S,1,1276,460,99
109,MNH-0218S,1,1020,540,356
110,MNH-0215S,1,2061,1021,356
111,MNH-0218SD,1,726,327,358
112,MNH-0218S,1,562,379,362
113,MNH-0218S,1,369,58,299
114,MNH-0215S,1,2031,762,104
115,MNH-0218S,1,395,48,104
116,MNH-0218SD,1,2198,58,110
117,NJYH-0218S,1,2032.5,505,326
118,NJYH-0218S,1,924,495,324
119,YTM-0215S,1,366.5,821,268
120,YTM-0218S,1,2375,558,269
121,YTM-0218S,1,2228,240,20
122,5-0218S,1,2218.5,545,20
123,YTM-0218S,1,2188,580,16
124,YTM-0218S,1,376,278,21
125,MNH-0215S,1,2139.5,762,30
126,MNH-0218S,1,401,298,60
127,MNH-0218S,1,432,333,147
128,MNH-0215S,1,488,118,237
129,MNH-0218S,1,198,328,325
130,MNH-0215S,1,302.5,389,33
131,MNH-0215S,1,388,78,33
132,YTM-0218S,1,374,38,21
133,MNH-0218SD,1,1798,58,299
134,MNH-0218S,1,681,358,303
135,MNH-0218S,1,360,58,377
136,MNH-0218S,1,2398,358,40
137,YSH-0218S,1,423,249,138
138,YTM-0218S,1,533,111.5,271
139,YTM-0218S,1,2311,436,269
140,YTM-0215S,1,2141,762,17
141,MNH-0218S,1,531,462,308
142,MNH-0218S,1,358.5,78,306
143,MNH-0218S,1,1068,398,379
144,MNH-0218S,1,2053,293,350
145,YSH-0218S,1,340,399.5,362
146,MNH-0218S,1,771,577.5,110
148,MNH-0218S,1,1122,327,328
149,MNH-0218S,1,562,379,110
150,MNH-0215S,1,681.5,132.5,33
151,MNH-0218SD,1,312,449,260
152,QKQ-0218SD,1,523,58,62
153,MNH-0225S,1,878,498,138
154,XXB-0218S,1,831,277.5,153
155,MNH-0215S,1,592,489,154
156,MNH-0218S,1,683,396,147
157,MNH-0215S,1,423,520,107
158,YTM-0218S,1,634,308,265
159,YTM-0215S,1,566,439,269
161,YTM-0215S,1,2181,512,118
162,YTM-0218S,1,612,297,115
163,MNH-0218S,1,992,375,379
164,MNH-0215S,1,294,289,32
165,MNH-0215S,1,488,118,35
166,MNH-0218S,1,831,771,358
167,MNH-0218S,1,470,560,362
168,MNH-0218S,1,880,280,362
169,MNH-0218S,1,1393,348,325
170,QKQ-0215S,1,258,52.5,329
171,MNH-0218S,1,962,58,324
172,MNH-0218S,1,1473,329,31
173,MNH-0218S,1,770,308,31
174,QKQ-0218S,1,433,428.8,33
175,YTM-0218S,1,2398,274,56
176,MNH-0218SD,1,851,58,60
177,MNH-0218S,1,600,315,148
178,MNH-0218S,1,719,595,152
179,MNH-0218S,1,392,58,147
180,MNH-0218S,1,677,191.5,104
181,YTM-0218S,1,572,327,267
182,YTM-0218S,1,612,277.5,115
183,YTM-0218S,1,961,118.5,115
184,XXB-0218S,1,431,477.5,308
185,XXB-0215S,1,288,78,306
186,NJYH-0218S,1,808,350.3,303
187,XXB-0218S,1,474.5,520,356
189,MNH-0218S,1,1857,397,328
190,MNH-0218S,1,1998,558,33
191,QKQ-0218S,1,433,428.8,33
193,MNH-0218S,1,980,378,360
194,MNH-0218S,1,754,372,379
195,MNH-0218S,1,755,301,59
196,MNH-0218S,1,661,317,60
197,MNH-0218S,1,600,315,148
198,MNH-0218S,1,1284,58,156
199,MNH-0218S,1,770,411.5,110
200,YTM-0218S,1,387.5,327,265
201,YTM-0218S,1,812,58,269
202,YTM-0218S,1,742,579,16
203,YTM-0218S,1,430,338,117
204,YTM-0218S,1,442.5,323,117
205,MNH-0215S,1,2251,356,381
206,MNH-0215S,1,2101,762,184
207,PKQL-0418S,1,2153.5,403,30
208,PKQL-0418S,1,2062.5,419,32
209,MNH-0218S,1,2248,38,32
210,MNH-0218S,1,973,328,358
211,MNH-0218S,1,179,297,106
212,YSH-0215S,1,464,339,107
213,NJYH-0218S,1,444.5,283.5,324
214,MNH-0218SD,1,168,58,110
215,MNH-0215S,1,488,78,34
216,MNH-0218SD,1,1218,58,184
217,YTM-0218S,1,457,98,56
218,MNH-0218S,1,2394,337,60
219,MNH-0218S,1,720,614,152
220,MNH-0218S,1,1967,607,154
221,MNH-0218S,1,687,277,43
223,MNH-0218S,1,968,448,308
224,MNH-0218S,1,367,78,306
225,MNH-0218S,1,280,328,311
226,MNH-0218S,1,862,58,299
227,MNH-0218S,1,562,339,39
228,MNH-0218S,1,1002,429,138
229,MNH-0218S,1,904,557,35
230,MNH-0218S,1,822,328,358
231,MNH-0218S,1,1891,560,362
232,MNH-0218S,1,700,560,300
233,MNH-0218S,1,415,540,106
234,MNH-0215S,1,288,78,325
235,MNH-0218S,1,1357,327,325
236,MNH-0218S,1,736,360,324
237,NJYH-0215S,1,338,78,328
238,MNH-0218S,1,152,458,250
239,MNH-0218S,1,1535,257,150
240,MNH-0225S,1,734,597,156
241,MNH-0218S,1,1052,58,149
242,MNH-0215S,1,130,685,151
243,XXB-0218S,1,831,277.5,153
244,5-0218S,1,2124,385,16
245,YTM-0218S,1,1819.5,297,21
246,MNH-0215S,1,338,238,308
247,MNH-0218S,1,880,198,309
248,XXB-0218SD,1,815,418.3,309
249,MNH-0218SD,1,1838,58,299
250,MNH-0218S,1,897,308,358
251,MNH-0218S,1,562,379,362
252,MNH-0218S,1,605,325,156
253,XXB-0218S,1,663,135.5,154
254,MNH-0218S,1,362,574,104
255,MNH-0218S,1,746,579,108
256,YTM-0218S,1,505,401,329
257,MNH-0218S,1,998,426,324
258,MNH-0218S,1,680.5,358,303
259,MNH-0215S,1,1950.5,866,39
260,MNH-0215S,1,254.5,703,39
261,QKQ-0218S,1,432,58,61
262,MNH-0218S,1,756,322,59
263,XXB-0218S,1,422,435.8,156
264,YTM-0218S,1,795,198,270
265,YTM-0218S,1,412,359,117
266,YTM-0218S,1,442.5,323,117
267,XXB-0218S,1,400,154,306
269,MNH-0218SD,1,2378,148,299
270,QKQ-0218S,1,1934,428.8,33
271,MNH-0218S,1,1697,557,33
272,MNH-0218S,1,775,470,182
273,MNH-0218S,1,2318,580,299
274,MNH-0218S,1,911,929.5,299
275,MNH-0218SD,1,540,748,237
276,MNH-0218S,1,771,83,110
277,MNH-0218S,1,462,58,324
278,MNH-0218S,1,373,493,34
279,MNH-0218S,1,1042,259,380
280,MNH-0218S,1,562,339,39
281,MNH-0225S,1,298,298,60
282,MNH-0218SD,1,1518,148,152
283,MNH-0218S,1,448,558,41
284,XXB-0218S,1,808,414.5,227
285,YTM-0218S,1,802,58,265
286,YTM-0218S,1,722,538,269
287,YTM-0218S,1,425,404,269
288,YTM-0215S,1,580,212.5,21
289,YTM-0215S,1,589,212.5,21
290,YTM-0218S,1,421,338,117
291,MNH-0218S,1,340,429,33
292,PKQL-0418S,1,735,183,30
293,YDBS-0215S,1,398,722,32
294,XXB-0218S,1,474.5,520,356
295,MNH-0218S,1,360,58,377
296,MNH-0218S,1,1848,560,138
297,YTM-0218S,1,2148,358,55
298,MNH-0218S,1,1022,267,156
299,MNH-0225S,1,1198,438,104
300,MNH-0218S,1,548,360,324
301,YTM-0215S,1,501.5,340,117
302,MNH-0218S,1,936,539,308
303,MNH-0218S,1,762,557,306
304,XXB-0215S,1,310,52.5,306
305,MNH-0218S,1,749,266,310
306,NJYH-0215S,1,298,118,303
307,YTM-0218S,1,2311,420,269
308,YTM-0218S,1,396,48,16
309,MNH-0218S,1,105,558,29
310,MNH-0215S,1,331,92.5,29
311,MNH-0218S,1,681,358,303
312,XXB-0218S,1,1838,38,295
313,PKQL-0418S,1,637,373,32
314,MNH-0218S,1,1078,348,110
315,MNH-0218S,1,1078,348,110
316,NJYH-0218S,1,2346,395,324
317,MNH-0218S,1,515.5,371,184
318,MNH-0218S,1,2134,371,184
319,MNH-0218S,1,340,58,33
320,QKQ-0218S,1,886.5,385,61
